year,month,Row Labels,Sum of Administered,Sum of Administered_Janssen,Sum of Administered_Moderna,Sum of Administered_Pfizer,Sum of Administered_Unk_Manuf,Sum of Series_Complete_Yes,Sum of Series_Complete_Pop_Pct,Sum of Series_Complete_Janssen,Sum of Series_Complete_Moderna,Sum of Series_Complete_Pfizer,Sum of Series_Complete_Unk_Manuf,All other conditions_with_covid,Alzheimer disease_with_covid,Circulatory diseases_with_covid,COVID-19,Diabetes_with_covid,"Intentional and unintentional injury, poisoning_with_covid",Malignant neoplasms_with_covid,Obesity_with_covid,Renal failure_with_covid,Respiratory diseases_with_covid,Sepsis_with_covid,Vascular and unspecified dementia_with_covid,COVID_Death_count,Sum of Natural Cause,Sum of Septicemia,Sum of Malignant neoplasms,Sum of Diabetes mellitus,Sum of Influenza and pneumonia,Sum of Alzheimer,Sum of Chronic lower respiratory,Sum of Other diseases of respiratory system,Sum of Nephritis,Sum of not elsewhere classified,Sum of Diseases of heart ,Sum of Cerebrovascular diseases
2021,5,Maine,41841975,2663254,18250293,20921873,6555,20057398,1492.1,2651498,7996679,9407290,1931,10,0,0,55,0,0,0,0,0,0,0,0,65,1390,45,314,162,132,186,91,109,113,157,329,120
2021,5,Maryland,171282532,6654791,70884447,93618934,124360,78246751,1294.2,6450793,30883738,40876043,36177,159,0,169,315,40,0,10,11,51,252,27,0,1034,4609,96,1030,162,104,86,178,113,107,119,1124,298
2021,5,Massachusetts,224220171,7411016,93257280,123548038,3837,98193091,1424.7,7445761,38552682,52193728,920,91,0,25,180,0,0,0,0,10,164,0,0,470,5077,88,1233,140,85,137,226,77,119,93,1072,213
2021,5,Michigan,248485113,8212570,105323338,134909173,40032,117542205,1176.7,8362844,47637655,61524240,17466,475,0,634,1291,120,0,66,66,135,1459,144,39,4429,10109,113,1903,322,99,387,445,115,173,121,2419,517
2021,5,Minnesota,153536339,6735850,63448032,83343459,8998,71703520,1271.4,6799889,28158012,36742892,2727,123,0,81,221,32,0,0,0,11,214,0,0,682,4113,91,961,152,132,203,210,69,113,91,755,210
2021,5,Mississippi,52431803,1492977,25018297,25893433,27096,23763536,798.4,1462261,11058788,11241634,853,54,0,42,156,15,0,0,0,0,120,0,0,387,2987,101,631,119,78,150,190,98,79,157,782,166
2021,5,Missouri,136236432,4188970,53433684,78602369,11409,60479757,985.4,4206393,23143523,33127942,1899,80,0,11,192,0,0,0,0,15,158,0,0,456,5668,95,1251,172,75,207,298,117,144,97,1461,278
2021,5,Montana,25447256,829053,11902788,12708024,7391,11868085,1110.4,811404,5371068,5683375,2238,0,0,0,13,0,0,0,0,0,0,0,0,13,921,91,235,232,106,274,158,124,142,157,200,331
2021,5,Nebraska,49133990,1766921,20247497,27033090,86482,23232014,1201,1775475,9114978,12316403,25158,11,0,0,46,0,0,0,0,0,10,0,0,67,1615,113,377,96,132,105,94,124,123,157,357,86
2021,5,Nevada,71571094,2744475,29784806,39041813,0,31696384,1029.2,2699966,12704917,16291326,175,33,0,20,110,0,0,0,0,0,92,0,0,255,2418,113,477,117,103,68,131,124,142,119,659,139
2021,5,New Hampshire,38598429,1698161,16278717,20620540,1011,15732181,1157.3,1725237,6500996,7505398,550,0,0,0,11,0,0,0,0,0,0,0,0,11,1108,113,268,195,106,139,106,124,142,157,270,172
2021,5,New Jersey,257609816,9861132,110079332,137654627,14725,119935802,1350.3,9937601,47648427,62348810,964,232,0,209,489,42,0,22,0,43,571,64,0,1672,6857,180,1442,160,93,209,212,193,147,170,1679,347
2021,5,New Mexico,61929024,1700660,27666322,32481699,80343,28346572,1352,1670031,11835912,14817581,23048,12,0,0,63,0,0,0,0,0,40,0,0,115,1778,113,379,69,132,116,90,95,113,104,357,139
2021,5,New York,553632347,21858298,232859316,298805466,109267,252483907,1298.2,21112680,101209492,130139514,22221,336,0,544,984,51,0,51,0,35,844,38,59,2942,14435,192,3088,428,299,299,506,269,271,496,3765,649
